Unnamed: 0,Number of components,Type of DES,Component#1,Smiles#1,T#1,Component#2,Smiles#2,T#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",Reference (DOI)
102,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCCO,309.15,0.86,0.14,494.78,
103,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC1=C(C(=CC=C1)O)C,345.15,0.17,0.83,325.0,
104,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC1=C(C(=CC=C1)O)C,345.15,0.25,0.75,290.79999999999995,
105,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC1=CC(=C(C(=C1)C)O)C,343.15,0.33,0.67,307.15,
106,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC1=C(C=C(C=C1)O)C,336.15,0.33,0.67,273.15,
107,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CC(=CC=C1C(=O)O)O,487.65,0.67,0.33,360.15,
108,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CCC(=O)O)CC(=O)O,424.0,0.5,0.5,358.15,
109,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C=CCNC(=O)N,357.15,0.33,0.67,282.15,
110,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CC=C(C=C1)N,267.15,0.33,0.67,317.15,
111,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CC=C(C=C1)C(=O)N,398.15,0.33,0.67,365.15,
112,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CC=C(C=C1)C(=O)O,394.15,0.33,0.67,351.15,
113,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CC(=C(C=C1C=CC(=O)O)O)O,484.15,0.67,0.33,340.15,
114,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCC(=O)O,304.75,0.2,0.8,304.45,
115,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCC(=O)O,304.75,0.33,0.67,305.45,
116,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCC(=O)O,304.75,0.29,0.71,328.75,
117,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCC(=O)O,304.75,0.36,0.64,413.7,
118,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCC(=O)O,304.75,0.75,0.25,453.7,
119,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCC(=O)O,304.75,0.85,0.15,499.8,
120,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCC(=O)O,304.75,0.94,0.06,543.95,
121,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CC=C2C(=C1)C=CC(=O)O2,344.15,0.2,0.8,325.15,
125,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1C(C(C(C(O1)(CO)O)O)O)O,392.15,0.29,0.71,366.7,
126,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1C(C(C(C(O1)(CO)O)O)O)O,392.15,0.33,0.67,475.3,
127,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1C(C(C(C(O1)(CO)O)O)O)O,392.15,0.4,0.6,309.15,
128,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1C(C(C(C(O1)(CO)O)O)O)O,392.15,0.5,0.5,306.15,
129,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1C(C(C(C(O1)(CO)O)O)O)O,392.15,0.67,0.33,301.15,
130,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1C(C(C(C(O1)(CO)O)O)O)O,392.15,0.71,0.29,293.15,
131,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(C1C(C(C(C(O1)O)O)O)O)O,419.15,0.33,0.67,283.15,
132,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(C1C(C(C(C(O1)O)O)O)O)O,419.15,0.5,0.5,310.15,
133,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(C1C(C(C(C(O1)O)O)O)O)O,419.15,0.6,0.4,287.15,
134,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(C1C(C(C(C(O1)O)O)O)O)O,419.15,0.67,0.33,304.15,
135,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CN)N,281.15,0.33,0.67,297.15,
136,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(C(C(C(C(CO)O)O)O)O)O,367.15,0.5,0.5,288.15,
137,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(C(C(CO)O)O)O,394.15,0.4,0.6,302.15,
138,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(C(C(CO)O)O)O,394.15,0.33,0.67,284.15,
139,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(C(C(CO)O)O)O,394.15,0.6,0.4,265.15,
140,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CO)N,283.45,0.13,0.88,263.15,
141,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CO)O,260.25,0.17,0.83,273.15,
142,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CO)O,260.25,0.2,0.8,276.88,
143,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CO)O,260.25,0.29,0.71,237.17,
144,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CO)O,260.25,0.33,0.67,236.17,
145,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CO)O,260.25,0.36,0.64,277.29999999999995,
146,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=C(C=C(C(=C1O)O)O)C(=O)O,533.15,0.67,0.33,239.4,
147,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CC(=O)O)C(C(=O)O)N,472.15,0.33,0.67,238.6,
148,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(C(CO)O)O,290.95,0.33,0.67,350.15,
